repo_id,snapshot_month,n_components,semantic_score,aria_score,keyboard_score,wcag_total_dens,wcag_operable_dens,severity_weighted_dens,total_elements,is_treated,treatment_date,full_name,treated_tier,month_int,t_month_int,is_post,rel_month
491459489,2025-03,429,0.9440559440559441,0.9984459207459208,0.9603729603729604,0.01975356933307256,0.01251711324075885,0.04204967729317426,5113,1,2023-10-25,gitcoinco/grants-stack,2,62,45,1,17
491459489,2025-04,431,0.9443155452436195,0.9984531322505801,0.9605568445475638,0.019460500963391136,0.01233140655105973,0.041425818882466284,5190,1,2023-10-25,gitcoinco/grants-stack,2,63,45,1,18
491459489,2025-05,431,0.9443155452436195,0.9984531322505801,0.9605568445475638,0.019460500963391136,0.01233140655105973,0.041425818882466284,5190,1,2023-10-25,gitcoinco/grants-stack,2,64,45,1,19
493838825,2022-12,36,0.9722222222222222,1.0,0.9722222222222222,0.04878048780487805,0.036585365853658534,0.0975609756097561,82,0,2025-10-04,igordanchenko/yet-another-react-lightbox,0,35,69,0,-34
493838825,2023-01,36,0.9722222222222222,1.0,0.9722222222222222,0.04878048780487805,0.036585365853658534,0.0975609756097561,82,0,2025-10-04,igordanchenko/yet-another-react-lightbox,0,36,69,0,-33
493838825,2023-02,37,0.972972972972973,1.0,0.972972972972973,0.04878048780487805,0.036585365853658534,0.0975609756097561,82,0,2025-10-04,igordanchenko/yet-another-react-lightbox,0,37,69,0,-32
493838825,2023-03,43,0.9767441860465116,1.0,0.9767441860465116,0.0392156862745098,0.029411764705882353,0.0784313725490196,102,0,2025-10-04,igordanchenko/yet-another-react-lightbox,0,38,69,0,-31
493838825,2023-04,45,0.9777777777777777,1.0,0.9777777777777777,0.0380952380952381,0.02857142857142857,0.0761904761904762,105,0,2025-10-04,igordanchenko/yet-another-react-lightbox,0,39,69,0,-30
493838825,2023-05,48,0.9791666666666666,1.0,0.9791666666666666,0.03636363636363636,0.02727272727272727,0.07272727272727272,110,0,2025-10-04,igordanchenko/yet-another-react-lightbox,0,40,69,0,-29
493838825,2023-06,49,0.9795918367346939,1.0,0.9795918367346939,0.032520325203252036,0.024390243902439025,0.06504065040650407,123,0,2025-10-04,igordanchenko/yet-another-react-lightbox,0,41,69,0,-28
493838825,2023-07,49,0.9795918367346939,1.0,0.9795918367346939,0.032520325203252036,0.024390243902439025,0.06504065040650407,123,0,2025-10-04,igordanchenko/yet-another-react-lightbox,0,42,69,0,-27
493838825,2023-08,49,0.9795918367346939,1.0,0.9795918367346939,0.032520325203252036,0.024390243902439025,0.06504065040650407,123,0,2025-10-04,igordanchenko/yet-another-react-lightbox,0,43,69,0,-26
493838825,2023-09,49,0.9795918367346939,1.0,0.9795918367346939,0.032520325203252036,0.024390243902439025,0.06504065040650407,123,0,2025-10-04,igordanchenko/yet-another-react-lightbox,0,44,69,0,-25
493838825,2023-10,49,0.9795918367346939,1.0,0.9795918367346939,0.032520325203252036,0.024390243902439025,0.06504065040650407,123,0,2025-10-04,igordanchenko/yet-another-react-lightbox,0,45,69,0,-24
493838825,2023-11,49,0.9795918367346939,1.0,0.9795918367346939,0.032520325203252036,0.024390243902439025,0.06504065040650407,123,0,2025-10-04,igordanchenko/yet-another-react-lightbox,0,46,69,0,-23
493838825,2023-12,49,0.9795918367346939,1.0,0.9795918367346939,0.032520325203252036,0.024390243902439025,0.06504065040650407,123,0,2025-10-04,igordanchenko/yet-another-react-lightbox,0,47,69,0,-22
493838825,2024-01,49,0.9795918367346939,1.0,0.9795918367346939,0.032520325203252036,0.024390243902439025,0.06504065040650407,123,0,2025-10-04,igordanchenko/yet-another-react-lightbox,0,48,69,0,-21
493838825,2024-02,49,0.9795918367346939,1.0,0.9795918367346939,0.032520325203252036,0.024390243902439025,0.06504065040650407,123,0,2025-10-04,igordanchenko/yet-another-react-lightbox,0,49,69,0,-20
493838825,2024-03,49,0.9795918367346939,1.0,0.9795918367346939,0.032520325203252036,0.024390243902439025,0.06504065040650407,123,0,2025-10-04,igordanchenko/yet-another-react-lightbox,0,50,69,0,-19
493838825,2024-04,49,0.9795918367346939,1.0,0.9795918367346939,0.03333333333333333,0.025,0.06666666666666667,120,0,2025-10-04,igordanchenko/yet-another-react-lightbox,0,51,69,0,-18
493838825,2024-05,51,0.9803921568627451,1.0,0.9803921568627451,0.032520325203252036,0.024390243902439025,0.06504065040650407,123,0,2025-10-04,igordanchenko/yet-another-react-lightbox,0,52,69,0,-17
493838825,2024-06,51,0.9803921568627451,1.0,0.9803921568627451,0.032520325203252036,0.024390243902439025,0.06504065040650407,123,0,2025-10-04,igordanchenko/yet-another-react-lightbox,0,53,69,0,-16
493838825,2024-07,51,0.9803921568627451,1.0,0.9803921568627451,0.032520325203252036,0.024390243902439025,0.06504065040650407,123,0,2025-10-04,igordanchenko/yet-another-react-lightbox,0,54,69,0,-15
493838825,2024-08,51,0.9803921568627451,1.0,0.9803921568627451,0.032520325203252036,0.024390243902439025,0.06504065040650407,123,0,2025-10-04,igordanchenko/yet-another-react-lightbox,0,55,69,0,-14
493838825,2024-09,51,0.9803921568627451,1.0,0.9803921568627451,0.032520325203252036,0.024390243902439025,0.06504065040650407,123,0,2025-10-04,igordanchenko/yet-another-react-lightbox,0,56,69,0,-13
493838825,2024-11,51,0.9803921568627451,1.0,0.9803921568627451,0.032520325203252036,0.024390243902439025,0.06504065040650407,123,0,2025-10-04,igordanchenko/yet-another-react-lightbox,0,58,69,0,-11
493838825,2025-01,51,0.9803921568627451,1.0,0.9803921568627451,0.032520325203252036,0.024390243902439025,0.06504065040650407,123,0,2025-10-04,igordanchenko/yet-another-react-lightbox,0,60,69,0,-9
493838825,2025-02,51,0.9803921568627451,1.0,0.9803921568627451,0.032520325203252036,0.024390243902439025,0.06504065040650407,123,0,2025-10-04,igordanchenko/yet-another-react-lightbox,0,61,69,0,-8
493838825,2025-03,51,0.9803921568627451,1.0,0.9803921568627451,0.032520325203252036,0.024390243902439025,0.06504065040650407,123,0,2025-10-04,igordanchenko/yet-another-react-lightbox,0,62,69,0,-7
493838825,2025-04,51,0.9803921568627451,1.0,0.9803921568627451,0.016260162601626018,0.016260162601626018,0.032520325203252036,123,0,2025-10-04,igordanchenko/yet-another-react-lightbox,0,63,69,0,-6
493838825,2025-05,51,1.0,1.0,1.0,0.0,0.0,0.0,123,0,2025-10-04,igordanchenko/yet-another-react-lightbox,0,64,69,0,-5
493838825,2025-06,51,1.0,1.0,1.0,0.0,0.0,0.0,123,0,2025-10-04,igordanchenko/yet-another-react-lightbox,0,65,69,0,-4
493838825,2025-07,52,1.0,0.9807692307692307,1.0,0.008064516129032258,0.0,0.016129032258064516,124,0,2025-10-04,igordanchenko/yet-another-react-lightbox,0,66,69,0,-3
493838825,2025-10,52,1.0,0.9807692307692307,1.0,0.008064516129032258,0.0,0.016129032258064516,124,0,2025-10-04,igordanchenko/yet-another-react-lightbox,0,69,69,1,0
493838825,2025-12,52,1.0,0.9807692307692307,1.0,0.008064516129032258,0.0,0.016129032258064516,124,0,2025-10-04,igordanchenko/yet-another-react-lightbox,0,71,69,1,2
493838825,2026-02,52,1.0,0.9807692307692307,1.0,0.008064516129032258,0.0,0.016129032258064516,124,0,2025-10-04,igordanchenko/yet-another-react-lightbox,0,73,69,1,4
493838825,2026-03,53,1.0,0.9811320754716981,1.0,0.008,0.0,0.016,125,0,2025-10-04,igordanchenko/yet-another-react-lightbox,0,74,69,1,5
493838825,2026-04,53,1.0,0.9811320754716981,1.0,0.008,0.0,0.016,125,0,2025-10-04,igordanchenko/yet-another-react-lightbox,0,75,69,1,6
